Account Name,Account Record Type: Record Type ID,Status,Phone,Practice,Subcategory,Account Source,Email,Tier,Drive Down,Contract Type,Number of Active Contracts,Billing Street,Billing City,National Account,BillingStateCodeFormula,Drive Down Plan in Place,Child of National,Billing Zip/Postal Code,BillingCountryCodeFormula,Account Owner: User ID,Account ID,Active
Civitas Senior Living,0121U000000bHyv,Active,,Healthcare,,,,Tier 3,No,CWA Only,0,930 W 1st St Ste 400,Fort Worth,No,TX,No,No,76102-2743,US,0051U000006A5C5,0011U00001JsTnT,0
Costco,0121U000000bHyv,Active,(425) 313-6996,Retail,,Individual,,Tier 1,Yes,MSA Only,0,999 Lake Drive,Issaquah,Yes,WA,No,No,98027,US,0051U000007MRIn,0011U00000eBQ3r,0
Cushman & Wakefield,0121U000000bHyv,Signed,,Facility Management,Commercial Property Mgr,,,Tier 4,No,MSA Only,1,225 W Wacker Dr Ste 3000,Chicago,No,IL,No,No,60606-3007,US,0051U0000062Dew,0011U00001zJp1Q,0
Cushman & Wakefield - Corporate Accounts,0121U000000bHyv,Signed,,Facility Management,Commercial Property Mgr,,,Tier 4,No,CWA Only,1,225 W Wacker Dr Ste 3000,Chicago,No,IL,No,No,60606-3007,US,0051U0000062Dew,0011U00001zK7UC,0
Cushman & Wakefield Inc. - Non-Corporate,0121U000000bHyv,Active,1-312-470-1800,Facility Management,Commercial Facility Mgr,Referral,,Tier 3,No,MSA Only,1,225 W Wacker Dr Ste 3000,Chicago,Yes,IL,No,No,60606-3007,US,0051U0000062Dew,0011U00000p5Y5v,0
DWS/RREEF Management LLC,0121U000000bHyv,Active,(800) 621-1148,Multi-Family,Ownership/REIT,,,Tier 1,Yes,CWA Only,0,Bill to Property Manager at the property,,No,,Yes,No,,US,0051U000006A59u,0011U00000eBRCi,0
"EDENS, Inc.",0121U000000bHyv,Active,803-744-6798,Facility Management,Commercial Property Mgr,,,Tier 3,No,MSA Only,1,PO Box 7644,Merrifield,Yes,VA,No,No,22116-7644,US,0051U000006A59u,0011U00000eBRH7,0
Encompass Health Corporate,0121U000000bHyv,Active,c-205-757-6907 o-205-970-5589,Healthcare,Medical Care Facility,,,Tier 4,Yes,CWA Only,0,9001 Liberty Pkwy,Birmingham,No,AL,Yes,No,35242-7509,US,0051U000006A6ty,0011U00001AlU7W,0
Facility Source - IFM,0121U000000bHyv,Active,(602) 412-1077,Facility Management,Commercial Property Mgr,,,Tier 4,No,MSA Only,1,200 E Campus View Blvd Ste 120,Columbus,Yes,OH,No,No,43235-4619,US,0051U0000065E4S,0011U00000eBR7I,0
FF Properties LP - Fairfield Residential,0121U000000bHyv,Active,1-858-457-2123,Multi-Family,Property Management,,,Tier 4,Yes,MSA Only,2,5510 Morehouse Dr Ste 200,San Diego,Yes,CA,Yes,No,92121-3722,US,0051U000006A5C5,0011U00000p3b05,0
Gallagher Bassett - Referral Program,0121U000000bHyv,Active,1-603-773-3800,Insurance,Third Party Administrator,,,Tier 4,Yes,MSA Only,1,2 Pierce Place,Itasca,Yes,IL,Yes,No,60143,US,0051U000006A5C5,0011U00000Qsjth,0
Gap,0121U000000bHyv,Prospect,(415) 427-0100,Retail,Franchise/Chain Retail,,,Tier 4,No,CWA Only,0,2 Folsom St,San Francisco,No,CA,No,No,94105,US,0051U0000065E4S,0011U000022kD9b,1
GID - Windsor Property Management Company,0121U000000bHyv,Active,617-973-9680,Multi-Family,Ownership/REIT,Direct Marketing,,Tier 4,Yes,MSA Only,1,125 High St.,Boston,Yes,MA,Yes,No,2110,US,0051U000006ALhi,0011U00000eBR1s,0
Global Facility Management and Construction Inc.,0121U000000bHyv,Active,631-270-9528,Facility Management,Building Services,Repeat Client,sugandh.chauhan@gfm247.com,Tier 4,Yes,MSA Only,1,,,Yes,,No,No,,,0051U000003r0e8,0011U00001vAxKM,0
"Grand Peaks Property Management, Inc. - Corporate",0121U000000bHyv,Active,720-889-9200,Multi-Family,Property Management,,,Tier 4,Yes,MSA Only,1,4582 S Ulster St Ste 1200,Denver,Yes,CO,Yes,No,80237-2639,US,0051U000006A5B7,0011U00000eBR1V,0
Greystar Worldwide LLC,0121U000000bHyv,Prospect,+1 843-579-9400,Multi-Family,Property Management,Individual,,Tier 4,Yes,CWA Only,0,465 Meeting St,Charleston,No,SC,,No,29403-4832,US,0051U000006A5Bb,0011U00001mi9kY,0
H&M,0121U000000bHyv,Active,929-286-1319,Retail,Specialty/Big Box Retail,,,Tier 3,Yes,MSA with POs,1,110 Fifth Avenue,New York,Yes,NY,No,No,10011,US,0051U000006A6uD,0011U00000mUpKk,0
"Harvest Properties, LLC",0121U000000bHyv,Presentation,(781) 979-9199,Facility Management,Commercial Property Mgr,,,Tier 4,No,CWA Only,0,530 Silas Deane Highway,Wethersfield,No,CT,No,No,6109,US,0051U000006ALj6,0011U00001Ms0HE,0
Holt Lunsford Commercial (HLC),0121U000000bHyv,Active,(972) 241-8300,Facility Management,Commercial Property Mgr,,,Tier 3,Yes,CWA Only,0,5950 Berkshire Lane\nSuite 900,Dallas,No,TX,Yes,No,75225,US,0051U000006A5C5,0011U00000p3azj,0
InterContinental Hotels Group (IHG),0121U000000bHyv,Active,770-604-2207,Hospitality,Hotel/Motel,,,Tier 4,No,CWA Only,0,Three Ravinia Dr. Suite 100,Atlanta,No,GA,No,No,30346,US,0051U0000065E4S,0011U00000eBR7n,0
Johnson Controls International plc.,0121U000000bHyv,Active,414-524-3109,Industrial/Manufacturing,Construction Equip & Materials,End User,,Tier 2,Yes,MSA Only,1,5757 N. Green Bay Road,Glendale,No,WI,No,No,,US,0051U000006ALhi,0011U00001BguqK,0
Jones Lang LaSalle (JLL) - Bank of America - US,0121U000000bHyv,Active,980-386-8173,Facility Management,Commercial Property Mgr,,,Tier 4,Yes,MSA Only,1,bill to site address on WO- changes each loss- needs to be uploaded to portal,,Yes,,Yes,Yes,,US,0051U0000065E4S,0011U00000eBR5x,0
Jones Lang LaSalle (JLL) - Non- Corporate - Property Management/Office Markets/Industrial/Retail,0121U000000bHyv,Signed,1-312-782-5800,Facility Management,Commercial Property Mgr,,,Tier 4,Yes,Covered by Parent,0,200 East Randolph Street Floors 43-48,Chicago,No,IL,Yes,Yes,60601,US,0051U0000065E4S,0011U00000rgf7l,0
Jones Lang Lasalle (JLL) - We Work,0121U000000bHyv,Active,585 208 2781,Facility Management,Commercial Property Mgr,,,Tier 4,No,MSA Only,1,Bill to site-,,Yes,,No,Yes,,US,0051U0000065E4S,0011U00001HvDhL,0
Jones Lang LaSalle (JLL) - Work Dynamics - Corporate Accounts,0121U000000bHyv,Signed,1-312-782-5800,Facility Management,Commercial Property Mgr,,,Tier 4,Yes,Covered by Parent,0,200 East Randolph Drive,Chicago,No,IL,Yes,Yes,60601,US,0051U0000065E4S,0011U00000rgf6x,0
"JPMorgan Chase Bank, NA",0121U000000bHyv,Active,1-212-270-6000,Retail,Bank/Financial,,,Tier 1,No,MSA Only,1,270 Park Ave,New York,Yes,NY,No,No,10017-2001,US,0051U000006A6uD,0011U00000t3dWr,0
"La Quinta (LQ Management, LLC)",0121U000000bHyv,Active,(214) 492-6600,Hospitality,Hotel/Motel,,,Tier 4,No,MSA Only,1,909 Hidden Ridge,Irving,Yes,TX,No,No,75038,US,0051U000006A5C5,0011U00000p3b2z,0
Langtree HUD Development Company,0121U000000bHyv,Prospect,,Facility Management,Real Estate,Individual,,Tier 4,No,CWA Only,0,5800 Monroe Street,Sylvania,No,OH,No,No,43560,US,0051U000006A59u,0011U00001zJk6C,0
Liberty Mutual Group,0121U000000bHyv,Active,1-617-357-9500,Insurance,Carrier,,,Tier 4,No,MSA Only,0,175 Berkeley Street,Boston,No,MA,No,No,2116,US,0051U000005QBB5,0011U00000rgY99,0
Lincoln Property Company,0121U000000bHyv,Signed,214-890-5000,Multi-Family,Property Management,,,Tier 4,Yes,MSA Only,1,2000 McKinney Ave Ste 1000,Dallas,Yes,TX,Yes,No,75201-2027,US,0051U000006A5C5,0011U00000p3b3U,0
Marriott International,0121U000000bHyv,Prospect,(301) 380-3746,Hospitality,Hotel/Motel,,,Tier 4,No,CWA Only,0,Marriott Drive\nDept 52/924.36,Washington,No,DC,No,No,20058,US,0051U000007mYlW,0011U00001zJdcx,0
Marriott Vacations Worldwide Corporation (MVWC),0121U000000bHyv,Active,(407) 206-6216,Hospitality,Hotel/Motel,,,Tier 1,No,MSA Only,0,6649 Westwood Blvd Ste 500,Orlando,Yes,FL,No,No,32821-6066,US,0051U0000069rLx,0011U00000t3ylN,0
McCormack Baron Management,0121U000000bHyv,Active,1-314-621-3400,Multi-Family,Property Management,,,Tier 4,Yes,MSA Only,1,720 Olive Street\nSuite 2500,St. Louis,Yes,MO,No,No,63101,US,0051U000006ALhi,0011U00000o8ylt,0
Michigan K-12 Schools  (MAISL),0121U000000bHyv,Prospect,,Government,Education - K-12,,,Tier 4,Yes,Covered by Parent,0,,,No,,Yes,Yes,,,0051U000006A5C5,0011U000022hbED,1
Mission Rock Residential,0121U000000bHyv,Active,(720) 644-6700,Facility Management,Real Estate,,,Tier 2,Yes,MSA Only,1,1355 S Colorado Blvd Ste C710,Denver,No,CO,Yes,No,80222-3328,US,0051U000005oMv1,0011U00000TcVJ8,0
NAI Global Inc,0121U000000bHyv,Prospect,+1 212-405-2500,Facility Management,Real Estate,,,Tier 4,No,CWA Only,0,717 5th Ave,New York,No,NY,No,No,10022,US,0051U000005QBB5,0011U00001v87C7,0
Pennybacker Capital,0121U000000bHyv,Active,737-717-3017,Facility Management,Real Estate,,,Tier 1,No,MSA Only,2,3800 N Lamar Blvd Ste 350,Austin,Yes,TX,No,No,78756-4019,US,0051U000005oMv1,0011U00000ffaOE,0
"Prologis, Inc.",0121U000000bHyv,Active,303-567-5000,Facility Management,Commercial Property Mgr,,,Tier 3,Yes,MSA Only,1,1800 Wazee St Ste 500,Denver,Yes,CO,Yes,No,80202-2526,US,0051U000005oMv1,0011U00000eBRCt,0
Public Storage,0121U000000bHyv,Active,972-591-2650,Facility Management,Commercial Office,,,Tier 2,Yes,MSA Only,1,701 Western Ave,Glendale,Yes,CA,No,No,91201-2349,US,0051U000006A5B7,0011U00000eBR1m,0
Raritan Township Municipal Utilities Authority,0121U000000bHyv,Prospect,+1 908-782-7453,Insurance,Carrier,Individual,jlostumbojr@yahoo.com,Tier 4,No,CWA Only,0,303 S Main St,Flemington,No,NJ,No,No,08822-1740,US,0051U000007jrj4,0011U00001uNpYh,0
Revantage Corporate Services,0121U000000bHyv,Active,312-466-3410,Facility Management,Real Estate,End User,,Tier 4,Yes,MSA Only,1,233 S Wacker Dr Ste 4700,Chicago,Yes,IL,No,No,60606-6332,US,0051U000005QBB5,0011U000019zdWT,0
RSM Facility Solutions,0121U000000bHyv,Active,973-253-9300,Facility Management,Commercial Property Mgr,,,Tier 4,No,MSA Only,1,461 From Road\nSuite 255,Paramus,Yes,NJ,No,No,7652,US,0051U000006K9ZR,0011U00001IID11,0
Sares Regis,0121U000000bHyv,Active,1-949-756-5959,Multi-Family,Ownership/REIT,,,Tier 4,Yes,MSA Only,0,3501 Jamboree Rd Ste 3000,Newport Beach,Yes,CA,Yes,No,92660-2904,US,0051U000006A59u,0011U00000eBRCj,0
Sears DBA Transformco,0121U000000bHyv,Active,847-286-3157,Retail,Independent Retail,,,Tier 2,No,MSA Only,0,3333 Beverly Road E3-240B,Hoffman Estates,Yes,IL,No,No,60179,US,0051U000006A6uD,0011U00000mUpKn,0
Selective Insurance Company of America,0121U000000bHyv,,1-973-948-3000,Insurance,Retail Broker,,,Tier 4,,,0,40 Wantage Ave,Branchville,No,NJ,,No,07826-5640,US,0051U000005QBB5,0011U00000Qsk21,0
SMS Assist - US,0121U000000bHyv,Active,(312) 267-1547,Facility Management,Building Services,,,Tier 4,Yes,MSA Only,1,875 N Michigan Ave Ste 2800,Chicago,Yes,IL,No,No,60611-1819,US,0051U0000065E4S,0011U00000eBRAK,0
The Bainbridge Companies LLC,0121U000000bHyv,Active,(561) 333-3669,Facility Management,Commercial Property Mgr,,,Tier 4,No,MSA Only,1,12765 Forest Hill Blvd Ste 1307,Wellington,Yes,FL,No,No,33414-4781,US,0051U000006JYrp,0011U00000p5ExT,0
"The Cheesecake Factory, Inc.",0121U000000bHyv,Active,(818) 871-3097,Retail,Restaurants,Other,,Tier 3,No,MSA Only,1,26901 Malibu Hills Rd,Agoura Hills,Yes,CA,No,No,91301-5354,US,0051U0000062Nhm,0011U000019zhqA,0
"The Hanover Insurance Group, Inc.",0121U000000bHyv,Active,1-508-855-1000,Insurance,Carrier,,,Tier 2,No,CWA Only,0,440 Lincoln St,Worcester,No,MA,No,No,01653-0002,US,0051U000005QBB5,0011U00000rgSGe,0
The Related Companies,0121U000000bHyv,Active,212-295-9042,Multi-Family,Property Management,,,Tier 4,Yes,CWA Only,0,423 West 55th Street,NY,No,NY,Yes,No,,US,0051U000006A6ty,0011U00001IxXgm,0
Waste Management,0121U000000bHyv,Active,+1 215-295-7191,Industrial/Manufacturing,,Individual,,Tier 4,No,CWA Only,0,1111 Bordentown Rd,Morrisville,No,PA,No,No,19067,US,0051U000006ALhi,0011U00001SCidi,0
"Weston Solutions, Inc - United States Parcel Service (USPS)",0121U000000bHyv,Dormant,(630) 295-6212,Facility Management,Commercial Property Mgr,,,Tier 3,No,MSA Only,1,300 Plaza Circle suite 202,Mundelein,No,IL,No,No,60060,US,0051U0000065E4S,0011U00000eBRBy,0
