Account Name,Account Record Type: Record Type ID,Status,Phone,Practice,Subcategory,Account Source,Email,Tier,National Account,Child of National,Drive Down,Drive Down Plan in Place,Contract Type,Number of Active Contracts,Billing Street,Billing City,BillingStateCodeFormula,Billing Zip/Postal Code,BillingCountryCodeFormula,Account Owner: User ID,Parent Account: Account Name,Bill To,Protocols: ACM Testing,Protocols: Billing,Protocols: Adjusters,Protocols: Broker,Protocols: DFRs,Protocols: Portal,Protocols: Pricing,Protocols: Special Concerns,Protocols: Work Auth/PO,Push Protocols Down,Tax Exempt,Billing Contact,Billing Phone,Billing Email,Account Currency,Property Street,Property City,PropertyStateCodeFormula,PropertyCountryCodeFormula,Property Zip/Postal Code,Active,Account Owner: Full Name,Account Owner: Active
435 Langtree Road Mooresville NC 28117  - Langtree HUD Development,0121U000000bHyw,   ,  ,Insurance,Carrier,  ,  ,Tier 4,No,  ,No,No,CWA Only,0,   ,   ,   ,   ,   ,0051U000005QBB5,Hanover Insurance - Langtree HUD Development,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,435 Langtree Road,Mooresville,NC,US,28117,1,Matthew Wenstrom,1
4758 New York 28 Cooperstown NY 13326 - Holiday Inn Express & Suites,0121U000000bHyw,Prospect,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,   ,   ,   ,   ,   ,0051U000008kPZg,"Gf Management, Inc.",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,4758 New York 28,Cooperstown,NY,US,13326,1,Michael Nolan,1
518 East Iris Drive Berry Hill TN 37204  - East Iris Studios,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,   ,   ,   ,   ,   ,0051U000008xHzl,Universal Music Group,   ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   ,0,Kelly King,(615) 719-6787,kelly.king@umusic.com,USD,518 East Iris Drive,Berry Hill,TN,US,37204,1,Frank McCathran,1
520 Elmwood Park Boulevard Suite 110 Elmwood LA 70123  - Johnson Controls Fire Protection LP,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,No,   ,0,   ,   ,   ,   ,   ,0051U000006ALhi,Johnson Controls International - U.S.,   ,Request the ACM reports from your point of contact at the worksite that is requesting the work. JCI has an extensive Environmental Health & Safety Team.Otherwise follow Interstate's ACM Protocols.,Invoice the location & point of contact that requests our services where the work was performed at. Do NOT submit or copy the Risk Management team on any invoice.,"FM Global is carrier & will have a local adjuster visit the site if the loss meets the deductible.  Typical deductible is $100,000",   ,"Send DFR;s, pictures & daily moisture maps to local site JCI rep. requesting the work. Copy the following: vanessa.p.fleischman@jci.com; craig.davis@jci.com; mgolson@interstaterestoration.com",N/A,"T&M 2019 Any loss over $100,000 contact Vanessa Fleischman & Craig Davis immediately.",JCI has issued specific Covid 19 protocols for their facilities that they want us to follow.  See sample protocols for offices and manufacturing protocols in the files section.  See specific instructions in SF files,Verbal-confirm the verbal with email for emergency services. For Covid 19 - follow specific JCI protocols. Provide scope for proposed work and receive email approval.  Purchase Orders will then be provided,   ,0,   ,   ,   ,USD,520 Elmwood Park Boulevard Suite 110,Elmwood,LA,US,70123,1,Mark Golson,1
533 North Marketplace Boulevard Lansing MI 48917  - America's Best #5820,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,No,   ,0,   ,   ,   ,   ,   ,0051U000003r0e8,Global Facility Mgmt and Construction Inc. - National,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,533 North Marketplace Boulevard,Lansing,MI,US,48917,1,Virginia Taylor,1
6000 Scarlet Sky Way Unit 2404 Cary NC 27518-9224  - Park at Crossroads Apartments Unit 2404,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes, ,0, , , , ,   ,0051U000006A59u,DWS/RREEF Management - North Carolina,   ,All ACM  is handled by DWS/RREEF - they have their own list of approved IH's to engage.,"INVOICE GOES TO PROPERTY MANAGER AT THE PROPERTY ADDRESS NOT TO DWS RREEF OFFICE IN CHICAGO. * Heights at Park Lane, Dallas please see uploaded file for specific protocol *","Mike Allen, McLarens - Account Adjuster",Epic,"DFR's to established distro - to include property manager, DWS/RREEF contact(s), cc: Cindy and drivedown BD when applicable",n/a,2019 TM,Confirm the verbal  Daily DFR's including weekends & holidays,AWO per site (their form is used - per location)  Our AWO Env should be signed for all COVID19 jobs,   ,0,   ,   ,   ,USD,6000 Scarlet Sky Way Unit 2404,Cary,NC,US,27518-9224,1,Cindy Ochankowski,1
6225 Hackberry Creek Trail Charlotte NC 28269  - GID- Windsor Community - Addison Parks,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,Yes,   ,0,6225 Hackberry Creek Trail,Charlotte,NC,28269,US,0051U000006ALhi,GID - Windsor Property Management - National,   ,Standard First OnSite ACM testing protocols are to be followed. Ask the onsite property team if they have a report or a preferred IH. If they don't recommend one & ask their preference. Be upfront of the costs.,Invoice the site where the services are provided AND also have accounting email the invoice to:  PAYWINDSOR-Regular@yardifs.com as well as upload the invoice into VENDOR CAFE portal,"When an adjuster is engaged by Windsor, work with the adjuster on the GC scope and price prior to proceeding. Copy the dfr teams on all email estimates to adjuster. Any concerns/questions, please call Mark Golson's cell  713-299-9070.",N/A.,Send to onsite contact and copy the following: Tim King at: tking@gid.com;  Michael Ferguson at: mferguson@gid.com; Stacia Telsey at: STelsey@gid.com; Mark Golson at mark.golson@firstonsite.com & the regional First OnSite BD,Vendor Café - Have billing load all invoices.,2020 T & M Price Guide.,"Mitigation response: provide ETA update, arrival update, Written Scope & Rough Order of Magnitude within 48 hours of loss. Set Jobs up as stated in drive down document states..","Phone Call (Confirm the Verbal), Email or Text is approved.",   ,0,   ,   ,   ,USD,6225 Hackberry Creek Trail,Charlotte,NC,US,28269,1,Mark Golson,1
6510 Whorton Bend Road Gadsden AL 35901 - 93.1 WGMZ & 101.9 WAAX,0121U000000bHyw,   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,0051U0000062Df6,Cushman & Wakefield - iheart Media,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,Molly Winkler,917.363.3736,mollywinkler@iheartmedia.com,USD,6510 Whorton Bend Road,Gadsden,AL,US,35901,1,Jeff Daniel,1
7170 John Brannon Road Sulphur LA 70665  - Administrative Building,0121U000000bHyw,Prospect,(337) 263-7849,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,0051U000008wuyu,Waste Managment - Houston,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,7170 John Brannon Road,Sulphur,LA,US,70665,1,Tiffany Owens,1
838 Lakecrest Avenue Apartment 1B High Point NC 27265 - Chatham Wood,0121U000000bHyw,Prospect,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,0051U000008xF2D,Chatham Wood,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,838 Lakecrest Avenue  Apartment 1B,High Point,NC,US,27265,1,Summer Yuson,1
8401 Gateway Boulevard West El Paso TX 79925 - Sears Store - 1317,0121U000000bHyw,   ,9157754900,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,0051U000006A6uD,Sears,   ,   ,Eileen.templeman@Searshc.com;Dale.Menendez@searshc.com and CC-Ron Nardone/. Payment terms are 45 days from receipt of the invoice as per the MSA.,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,8401 Gateway Boulevard West,El Paso,TX,US,79925,1,Ron Nardone,1
8722 Loch Raven Boulevard Towson MD 21286,0121U000000bHyw,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,0,  ,  ,  ,  ,  ,0051U000006JptS,Hanover Insurance - Chesapeake Employers Insurance Co,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,8722 Loch Raven Boulevard,Towson,MD,US,21286,1,Molly Drzazgowski,1
8745 Glacier Highway Juneau AK 99801  - Petco - 1194,0121U000000bHyw,Prospect,   ,   ,   ,   ,   ,   ,   ,   ,Yes,No,  ,0,  ,  ,  ,  ,  ,0051U000008wuyu,Global Facility Mgmt and Construction Inc. - National,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,   ,   ,   ,USD,8745 Glacier Highway,Juneau,AK,US,99801,1,Tiffany Owens,1
940 New Salem Road Murfreesboro TN 37129 - Rutherford County Sheriff's Office,0121U000000bHyw,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0,  ,  ,  ,  ,  ,0051U0000065E4S,Rutherford County Government &Board of Education,   ,ask client or Liberty Mutual Adj for referral,   ,Liberty Mutual- varies,unknown,send to facilities person who assigned the loss and adjuster if insurance is involved.,n/a unless Core Logic if insurance involved,"2021 if non insurance or Core Logic pricing for DR under $50k and under $500,000 for GC T&M needs approved by adjuster and they have special rates for LM program",Liberty Mutual protocols apply if insurance is involved.  Ask BD for specifics.,CWA needed- no signed MSA- Liberty Mutual client referral,   ,0,Captain Angela Istvanditsch,615-278-8255,aistvanditsch@rcsotn.org,USD,940 New Salem Road,Murfreesboro,TN,US,37129,1,Kristy Kleto,1
